title,level,experience,recruit_quantity,form_of_work,gender,describe,require,interest,company_name,company_link,job_link
".Net
        
            Team Leader",Trưởng nhóm,3 năm,1 người,Toàn thời gian,Không yêu cầu,"– Phát triển sản phẩm phần mềm trên nền tảng .NET cho các đối tượng khách hàng khác nhau.– Thiết kế kiến trúc phần mềm, liên kết giữa các module trong phần mềm.– Nghiên cứu, đánh giá công nghệ mới cho toàn bộ sản phẩm/dự án.– Chịu trách nhiệm với solution archiect về các yêu cầu kỹ thuật của dự án, các công nghệ liên quan cần nghiên cứu.– Đảm bảo sản phẩm phần mềm đáp ứng được yêu cầu về hiệu năng và bảo mật.– Quản lý nhóm lập trình viên trong dự án.– Xây dựng kế hoạch, theo dõi và giám sát kế hoạch lập trình trong dự án","-Hiểu biết về kiến trúc phần mềm và an toàn bảo mật cho phần mềm-Hiểu biết sâu sắc về lập trình pattern-Hiểu biết về cluster, load ballancing-Hiểu biết về lập trình .Net Web API, .Net MVC, .Net Core-Hiểu biết về HTML5/CSS3, Javascript, jQuery, Bootstrap-Hiểu biết về cơ sở dữ liệu SQL Server, Oracle, My SQL: Tự thiết kế cơ sở dữ liệu, viết store procedure, function và các script phức tạp-Hiểu biết về lập trình cache như memcahed, inmemory cache, redis cache-Hiểu biết về việc sử dụng các công cụ quản lý source như svn, git hoặc tfs-Khả năng tối ưu hóa thuật toán, script-Hiểu biết với .Net membership, Microsoft AD, Open Ldap-Có hiểu biết về KPI, Digital Signing, Elastic Search, cloud-Có hiểu biết về cloud, sử dụng docker, kubernetes thành thạo-Có kinh nghiệm và kiến thức đối với các nền tảng tích hợp như Identity & Access Management, API Management, BPMChúng tôi tìm kiếm các ứng viên:– Có kỹ năng quản lý nhóm– Có khả năng lập kế hoạch cho nhóm– Tự nghiên cứu công nghệ mới và áp dụng cho team– Tự phân tích yêu cầu, thiết kế kiến trúc phần mềm– Có khả năng thuyết trình công nghệ cho team, ban giám đốc– Có kỹ năng báo cáo, tổng hợp về công nghệ– Có khả năng đọc hiểu tiếng Anh và gửi mail, chat tiếng Anh với đối tác tốt","– Mức lương cực kỳ hấp dẫn tương xứng với khả năng và kinh nghiệm.– Đánh giá & xét tăng lương hằng năm, thưởng kinh doanh cuối năm, thưởng dự án, thưởng hiệu suất, thưởng các dịp lễ tết trong năm.– Cơ hội thể hiện bản thân, làm chủ công việc và thăng tiến cao trong sự nghiệp.– Cơ hội làm việc với các chuyên gia Công nghệ hàng đầu và các hãng công nghệ lớn trên thế giới.– Môi trường trẻ trung, năng động, khuyến khích mọi người thể hiện bản thân, tạo sân chơi lành mạnh với nhiều hoạt động sôi nổi.– Tổ chức sinh nhật và tặng quà cho nhân viên trong công ty theo tháng, khám sức khỏe định kỳ hằng năm.–  Hưởng Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo chế độ nhà nước ban hành.– Teambuilding hàng năm, Olympic kỉ niệm ngày thành lập công ty, Year End Party, 20/10, ... và một số hoạt động văn hóa độc đáo khác.– Khu vực pantry rộng rãi để giải trí, ăn uống giữa giờ, ăn trưa và tổ chức các hoạt động nội bộ.– Và rất nhiều những cơ hội công việc hấp dẫn khác nữa.",CÔNG TY CỔ PHẦN SAVIS DIGITAL,https://www.topcv.vn/cong-ty/cong-ty-co-phan-savis-digital/116348.html,https://www.topcv.vn/viec-lam/net-team-leader/904400.html?ta_source=ITJobs_LinkDetail
Nhân Viên Chăm Sóc Khách Hàng,Nhân viên,Dưới 1 năm,25 người,Toàn thời gian,Nữ,"Liên hệ và tạo lịch hẹn với doanh nghiệp - cơ sở - các đơn vị kinh doanh để tư vấn và triển khai trang web, tư vấn doanh nghiệp chuyển đổi cơ cấu từ kinh doanh truyền thống sang kinh doanh online.Chăm sóc các khách hàng lớn và khách hàng cũ của công tyCập nhật dữ liệu khách hàng theo quy trìnhKhảo sát nhu cầu của khách hàng và thúc đẩy họ tìm hiểu thêm về các công cụ kinh doanh online mà Công ty đang cung cấp","Nam, nữ: đến 28 tuổi.Tốt nghiệp Trung cấp trở lên (đối với ứng viên chưa có kinh nghiệm)Có kỹ năng giao tiếp qua điện thoại ( là một lợi thế )Có khả năng làm việc nhómCó kiến thức liên quan đến lĩnh vực kinh doanh thương mại điện tử là một lợi thếHam học hỏi và nghiêm túc với công việc","Trau dồi và nâng cao kỹ năng giao tiếp. Tăng mối quan hệ đồng nghiệp và cả đối tác.Nâng cao kỹ năng bán hàng, đàm phán khách hàng trước doanh nghiệp.Cơ hội thăng tiến cao nếu có phẩm chất và năng lực trong công việc. Thời gian đầu khi thiếu kinh nghiệm và kỹ năng sẽ có nhân sự cũ hỗ trợ để tiếp xúc khách hàng.Hoạt động ngoại khóa thường xuyên: Du lịch, liên hoan ăn uống...cùng teamChương trình khen thưởng tháng, quý, năm.Không yêu cầu có kiến thức chuyên môn, được nhận và đạo tạo kiến thức về sản phẩm theo đúng lịch trình của công ty ngay khi nhận việc.Đào tạo bài bản kỹ năng giao tiếp và đàm phán với khách hàng trên thị trường thực tế với doanh nghiệp.Môi trường làm việc theo hướng team nhóm tập thể. Bộ phận hòa đồng vui vẻ, tinh thần đoàn kết bổ trợ công việc cao.",CÔNG TY TNHH TM DỊCH VỤ NINA,https://www.topcv.vn/cong-ty/cong-ty-tnhh-tm-dich-vu-nina/34501.html,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang/1025669.html?ta_source=ITJobs_LinkDetail
Product Owner,Nhân viên,2 năm,1 người,Toàn thời gian,Không yêu cầu,"Product management role (40%):Understand to present the Solutions architect & Product RoadmapJoin UAT/deliverable phase to ensure the outcome & qualityManage stakeholder needs, wants & vision of the productDeliver the compelling pitching and demoMaintain close internal and external communicationAssist Project Director/Manager in Project Delivery when neededBusiness Analytics/Business Strategy role (30%):Work with the Business team to identify the business value of the product to customer & business use casePlan, implement activities for customer surveys Understand business value of the Salesforce system to validate business requirements.Support/Oversight testing activities and user training.Solution & Industry (30%):Master various tech products through research and study by industry/domainMarket Research for best practices & industry KPI MetricsKnow different product substitute & Partners for value evaluation","Bachelor degree: IT, finance or business management2+ years experience working with Product/Partner RoleHaving knowledge in procedures of sales, product deliveryGreat Presentation & Communication SkillAnalytics SkillsGood teamwork and reliability and flexibilityGood in writing and customer relationshipExcellent Read & written skills in English","- Competitive salary (negotiation) - Bonus: laptop provision,phone allowance, - Bonus according to company policy: company gifts on special days and holidays- Salary review once per year- Social Insurance, Health Insurance, Unemployment Insurance according to Labour law- Health Insurance (PTI), Annual health Check-Up, teambuilding, company trip- Working time: Monday - Friday- Annual leaves at least 12 days per year- Career development: company-sponsored training and exam registration for the acquisition of international IT certifications; involve in IT projects with industry experts; personalized career path development - Working environment: dynamic, professional and creative environment to promote the best of their abilities at work.",Công ty TNHH Tích hợp Hệ thống Quản lý Quốc tế (Gimasys),https://www.topcv.vn/cong-ty/cong-ty-tnhh-tich-hop-he-thong-quan-ly-quoc-te-gimasys/6355.html,https://www.topcv.vn/viec-lam/product-owner/1470306.html?ta_source=ITJobs_LinkDetail
Project Manager,Quản lý / Giám sát,2 năm,1 người,Toàn thời gian,Không yêu cầu,"Project management role (60%):Estimate effort, cost, schedule of  the projectManage issue & risk Manage requirement, change requestManage progress and quality Review document Assured and Prepare all UAT/deliverable official required paperworkManage stakeholder Delivery productManaging project conflicts.Assist Project DirectorBA role (40%):Understand and work with the BA team to present solutions to customers.Plan, implement activities for customer surveys and analyze customer requests.Understand business value of the Salesforce system to validate business requirements.Support/Oversight testing activities and  user training.","Bachelor degree: IT, finance or business management2+ years experience working with Management RoleHaving knowledge in procedures of sales management (wholesales/ retail/back office), customer services, banking operations...Having knowledge in CRM implementation is a plus.A commitment to quality and a thorough approach to workGood teamwork and reliability and flexibilityGood in writing and customer relationshipRead & written skills in English","- Competitive salary (negotiation) - Bonus: laptop provision,phone allowance, - Bonus according to company policy: company gifts on special days and holidays- Salary review once per year- Social Insurance, Health Insurance, Unemployment Insurance according to Labour law- Health Insurance (PTI), Annual health Check-Up, teambuilding, company trip- Working time: Monday - Friday- Annual leaves at least 12 days per year- Career development: company-sponsored training and exam registration for the acquisition of international IT certifications; involve in IT projects with industry experts; personalized career path development - Working environment: dynamic, professional and creative environment to promote the best of their abilities at work.",Công ty TNHH Tích hợp Hệ thống Quản lý Quốc tế (Gimasys),https://www.topcv.vn/cong-ty/cong-ty-tnhh-tich-hop-he-thong-quan-ly-quoc-te-gimasys/6355.html,https://www.topcv.vn/viec-lam/project-manager/1470317.html?ta_source=ITJobs_LinkDetail
"Game Designer
        (Thu Nhập Lên Đến 30 Triệu) -
            Đi Làm Ngay",Nhân viên,1 năm,2 người,Toàn thời gian,Không yêu cầu,"Lên ý tưởng, sáng tạo nội dung, kịch bản game: tính năng, nội dung, giao diện,...Xây dựng level, đánh giá, phân tích, cân bằng gamePhối hợp với đội ngũ để đảm bảo dự án đi đúng hướng.Theo dõi và phân tích các chỉ số nhằm tối ưu sản phẩm.Nghiên cứu xu hướng game trong tương lai.","Có ít nhất 1 năm kinh nghiệm thiết kế game, hoặc ít nhất 1 sản phẩm làm GD chínhYêu thích chơi game và làm game, đặc biệt là game mobile.Khả năng sáng tạo, tư duy logic toán học tốt.Khả năng phân tích, đánh giá điểm mạnh, yếu của các sản phẩm game trên thị trường.Đam mê, chủ động trong công việc.Mong muốn phát triển game thể loại puzzle","Thu nhập 14-18 tháng lương.Nhận profit sharing từ dự ánThưởng các dịp lễ Tết và các chế độ phúc lợi khácReview lương 2 lần/nămTham gia đầy đủ BHXH/ BHYT/ BHTN theo quy định của luật lao động.25 ngày nghỉ phép nguyên lương/nămKhám sức khỏe định kỳ hàng nămDu lịch, team building ít nhất 2 lần/nămĐược tài trợ các khóa học nâng cao năng lực chuyên môn, kỹ năng mềmCơ hội thăng tiến, phát triển sự nghiệpCơ hội học hỏi từ các leader 10 năm kinh nghiệm",Công ty Cổ phần Titan Global,https://www.topcv.vn/cong-ty/cong-ty-co-phan-titan-global/140258.html,https://www.topcv.vn/viec-lam/game-designer-thu-nhap-len-den-30-trieu-di-lam-ngay/1453181.html?ta_source=ITJobs_LinkDetail
"Java Developer
        - Middle Level",Nhân viên,3 năm,1 người,Toàn thời gian,Không yêu cầu,"- Phát triển phần mềm quản lý thu phí đường bộ trên nền tảng Java (Java EE, Spring boot...)- Tham gia vào phân tích và thiết kế hệ thống- Phát triển hệ thống mới hoặc chỉnh sửa, nâng cấp hệ thống sẵn có.- Nghiên cứu công nghệ mới để áp dụng cho các dự án của công ty- Các thông tin cụ thể về công việc sẽ trao đổi khi phỏng vấn","- Tốt nghiệp các trường: Đại học/ Học viện/ Cao đẳng chuyên ngành CNTT, điện tử viễn thông, khoa học máy tính....và các chuyên ngành liên quan khác hoặc các khóa học có chứng chỉ liên quan- Có kinh nghiệm lập trình bằng Java từ 3 trở lên;- Có hiểu biết các hệ thống cơ sở dữ liệu: MySQL, PostgreSQL, Docker;- Kinh nghiệm setup CI/CD hay server management;- Nắm vững lập trình hướng đối tượng OOP;- Biết thêm công nghệ khác là một lợi thế- Sẵn sàng học hỏi công nghệ mới- Tiếng Anh đọc hiểu tài liệu","- Mức lương lên đến 1300 USD, đánh giá năng lực 2 lần/năm- Lương tháng 13, thưởng dự án (Theo quy định và chính sách công ty)- Được hưởng đầy đủ chế độ phúc lợi của người lao động theo Quy định của Nhà nước ( BHXH, BHYT)- Nghỉ phép 12 ngày/năm, nghỉ ốm/nghỉ chế độ thai sản/hiếu hỷ... theo luật lao động- Thời gian làm việc: 8h30 - 18h (Thứ 2 - thứ 6) và thứ 7 cách tuần (nghỉ trưa 1h30)- Văn phòng hiện đại, đồng nghiệp trẻ trung, năng động, nhiệt tình- Sử dụng miễn phí tất cả các tiện ích của công ty: trà, bánh, cafe,...- Được đào tạo, hướng dẫn, kèm cặp, phát triển bản thân nâng cao trình độ chuyên môn, nghiệp vụ, kỹ năng",Công ty cổ phần TechLead,https://www.topcv.vn/cong-ty/cong-ty-co-phan-techlead/112480.html,https://www.topcv.vn/viec-lam/java-developer-middle-level/1439139.html?ta_source=ITJobs_LinkDetail
Senior Java Developer,Nhân viên,5 năm,2 người,Toàn thời gian,Không yêu cầu,"Lập trình chính trong các dự án sử dụng ngôn ngữ Java.Tham gia vào tất cả các khâu trong quá trình phát triển phần mềm: tìm hiểu yêu cầu, phân tích, thiết kế, nghiên cứu công nghệ mới,...Tham gia quản lý nhóm nếu có khả năng phù hợp.Chi tiết cụ thể trao đổi khi phỏng vấn.","Có từ 5 năm kinh nghiệm với Java Có kinh nghiệm làm Java/Spring Boot, database PostgreSQL /MySQL, Docker Kinh nghiệm setup CI/CD hay server managementNắm vững lập trình hướng đối tượng OOPTiếng anh đọc hiểu tài liệuCó kinh nghiệm quản lý team Có khả năng tự nghiên cứu, phân tích và giải quyết vấn đề, cởi mở trong việc học hỏi công nghệ mới","Mức lương lên đến 2300 USD, đánh giá năng lực 2 lần/nămLương tháng 13, thưởng dự án (Theo quy định và chính sách công ty)Được hưởng đầy đủ chế độ phúc lợi của người lao động theo Quy định của Nhà nước ( BHXH, BHYT)Nghỉ phép 12 ngày/năm, nghỉ ốm/nghỉ chế độ thai sản/hiếu hỷ... theo luật lao độngThời gian làm việc: 8h30 - 18h (Thứ 2 - thứ 6) và thứ 7 cách tuần (nghỉ trưa 1h30)Văn phòng hiện đại, đồng nghiệp trẻ trung, năng động, nhiệt tìnhSử dụng miễn phí tất cả các tiện ích của công ty: trà, bánh, cafe,...Được đào tạo, hướng dẫn, kèm cặp, phát triển bản thân nâng cao trình độ chuyên môn, nghiệp vụ, kỹ năng",Công ty cổ phần TechLead,https://www.topcv.vn/cong-ty/cong-ty-co-phan-techlead/112480.html,https://www.topcv.vn/viec-lam/senior-java-developer/1166947.html?ta_source=ITJobs_LinkDetail
"Middle
            Frontend Developer
        (React)",Nhân viên,3 năm,3 người,Toàn thời gian,Không yêu cầu,"- Tham gia xây dựng và phát triển Front-end cho hệ thống chấm công, điểm danh và truyền thông nội bộ trên web và mobile sử dụng công nghệ ReactJS - Đề xuất giải pháp cho các yêu cầu để hoàn thành công việc đúng tiến độ và chất lượng- Phối hợp với các thành viên khác trong nhóm như backend, designer cải tiến sản phẩm liên tục.- Thực hiện các design patterns, tối ưu, caching, bảo mật và tính khả dụng mang lại trải nghiệm mượt mà đơn giản, dễ sử dụng- Xây dựng các components/modules linh hoạt và tái sử dụng tốt.- Tối ưu hóa giao diện các ứng dụng/trang web để có được tốc độ và hiệu suất tối đa.","- Trình độ học vấn: Đại Học/ Cao đẳng hoặc học các khóa học chuyên ngành: Công nghệ thông tin, khoa học máy tính, ... và các chuyên ngành khác liên quan- Tối thiểu 3 năm kinh nghiệm lập trình Front-end- Biết cơ bản về JS/TS- Có kinh nghiệm từng làm việc với các framework, lib ReactJS/VueJS/Angular- Hiểu biết về ES6, Webpack- Có kiến thức về Redux ( Redux Saga, Redux Toolkit )- Nắm vững kiến thức về HTML, CSS- Biết cơ bản về Git- Tinh thần cầu tiến, ham học hỏi, chủ động trong công việc.- Tinh thần trách nhiệm cao.","- Mức lương lên đến 1300 USD, đánh giá năng lực 2 lần/năm- Lương tháng 13, thưởng dự án (Theo quy định và chính sách công ty)- Được hưởng đầy đủ chế độ phúc lợi của người lao động theo Quy định của Nhà nước ( BHXH, BHYT)- Nghỉ phép 12 ngày/năm, nghỉ ốm/nghỉ chế độ thai sản/hiếu hỷ... theo luật lao động- Thời gian làm việc: 8h30 - 18h (Thứ 2 - thứ 6) và thứ 7 cách tuần (nghỉ trưa 1h30)- Văn phòng hiện đại, đồng nghiệp trẻ trung, năng động, nhiệt tình- Sử dụng miễn phí tất cả các tiện ích của công ty: trà, bánh, cafe,...- Được đào tạo, hướng dẫn, kèm cặp, phát triển bản thân nâng cao trình độ chuyên môn, nghiệp vụ, kỹ năng",Công ty cổ phần TechLead,https://www.topcv.vn/cong-ty/cong-ty-co-phan-techlead/112480.html,https://www.topcv.vn/viec-lam/middle-frontend-developer-react/1140547.html?ta_source=ITJobs_LinkDetail
"Dynamics 365 Support
            Engineer
        (Open For Freshers)",Nhân viên,Không yêu cầu kinh nghiệm,6 người,Toàn thời gian,Không yêu cầu,"• Reviews issues and contacts customers to understand issues. Ensures customers stay informed as to the status/solution of their issue. Utilizes troubleshooting tools (e.g., event logs, and performance traces) to help resolve customer issues. • Resolves or escalates multiple and varied customer issues. Documents technical work and research. • Analyzes problems and develops solutions for customer needs using log analysis and other proprietary tools. • Collaborates on cross-team and cross-product technical issues by working with resources from other groups as needed to resolve moderately complex customer issues. • Attends readiness training and non-technical training to ensure that they become proficient in support topics. Product/Process Improvement • Provides feedback to improve products to more senior engineers or technical advisors. • Identifies potential defects and escalates to more senior engineers to resolve. • Uses automated tools to deliver solutions for a wide range of issues. Provides feedback on how to improve automated tools. • Follows processes provided by the business. • Attends case triage meetings or case discussions to collaborate and share ideas to resolve problems.","• Proficient in English (4 skills) • Available to work night shifts (on-site at the company, shift hours: 20:00 - 5:00 or 23:00 - 8:00, working 8 hours per shift, with a total of 5 shifts per week, and 2 flexible days off) • Freshers are welcome with a good learning ability and working attitude • Experience/Knowledge in IT industry skills is a must • Customer service mindset","• Competitive salary depending on experience (For junior-level positions, the gross salary ranges from 20 to 22 million, plus, the night shift allowance may lead to a gross monthly salary of over 25 million, depending on your performance in the interview. For senior-level positions, the salary is open to negotiation) • Salary at 100% during the probationary period • Training will be offered • Full working equipment will be provided • 90% contribution of the gross salary to social insurance • 12 days of annual leave, 8 days of sick leave • 30% allowance on gross salary (If the working hours fall between 22:00 and 6:00, they can be counted toward the night shift allowance) + PVI insurance + 500,000 VND food allowance for employees working night shift • Annual Health Checkup",Công ty TNHH ITECHWX,https://www.topcv.vn/cong-ty/cong-ty-tnhh-itechwx/126954.html,https://www.topcv.vn/viec-lam/dynamics-365-support-engineer-open-for-freshers/1457244.html?ta_source=ITJobs_LinkDetail
"Cloud-PHP
            Developer
        (Codeigniter 4, Laravel) - 2 Năm Kinh Nghiệm",Nhân viên,2 năm,3 người,Toàn thời gian,Không yêu cầu,"Phát triển hệ thống nội bộ của công ty như CRM, CMS.
Phát triển các sản phẩm SAAS của công ty.
Thực hiện các công việc được giao theo sự phân công của cấp trên.
Thời gian làm việc: Từ thứ 2 đến thứ 6.","Tốt nghiệp Cao đẳng, Đại học.Kinh nghiệm : ít nhất 2 năm kinh nghiệm ở vị trí PHP Developer.Độ tuổi: Dưới 27 tuổi.Có khả năng phát triển ứng dụng PHP không cần dùng framework, nắm rõ cú pháp PHP cơ bản.Thành thạo ít nhất một framework PHP như Codeigniter 4, Laravel.Thành thạo với CSDL MySQL.Thành thạo Bootstrap, Jquery.Đã từng phát triển ứng dụng với Codeigniter 4 là một lợi thế.Đã từng phát triển hoàn chỉnh một ứng dụng với các tính năng như đăng nhập, đăng ký, reset mật khẩu, quản lý người dùng, quản lý admin, gửi email, API, Webhook.Có khả năng làm việc độc lập, tinh thần trách nhiệm cao.","Mức lương : Thỏa thuận theo năng lực, cạnh tranh trên thị trường Lương tháng 13, thưởng cuối năm và nhận thưởng trong các dịp lễ tết trong nămĐược ký hợp đồng lao động và đóng BHYT, BHXH, BHTN theo quy định của pháp luật khi là nhân viên chính thứcMôi trường làm việc thoải mái, thân thiện...Du lịch công ty 1 lần/năm.Tăng lương định kỳ theo năng lực và kết quả làm việcCung cấp hệ thống máy chủ riêng để chạy test code trong quá trình dev!",Công Ty TNHH Lưu Trữ Số,https://www.topcv.vn/cong-ty/cong-ty-tnhh-luu-tru-so/590.html,https://www.topcv.vn/viec-lam/cloud-php-developer-codeigniter-4-laravel-2-nam-kinh-nghiem/1456982.html?ta_source=ITJobs_LinkDetail
