title,level,experience,recruit_quantity,form_of_work,gender,describe,require,interest,company_name,company_link,job_link
Lập Trình Viên,Nhân viên,2 năm,1 người,Toàn thời gian,Nam,"Tham gia vào các dự án lập trình, phát triển hệ thống phần mềm ERP hoặc hệ thống tại công ty.Lập trình trên các sản phẩm Microsoft ERP, QAD ERP của công ty.Có kiến thức về lập trình C#, SQL Server ( ưu tiên có kiến thức về WPF ). Có kiến thức về hệ thống quản lý: kế toán, ERP. Hiểu biết về thuật toán và cấu trúc dữ liệu.","Ưu tiên ứng viên nam (độ tuổi từ 25t trở lên).Có kinh nghiệm làm việc trong lĩnh vực hệ thống siêu thị.Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin – Chuyên phần mềm lập trình.Đã có kinh nghiệm làm việc tại vị trí tương đương ít nhất 2 năm. Nắm rõ Kiến thức về lập trình C#, SQL Server , (có kiến thức về WPF ưu tiên), Kiến thức về hệ thống quản lý: Kế toán, ERP. Hiểu biết về thuật toán và cấu trúc dữ liệu. Sẵn sàng đi công tác ở Phú Quốc.","Công ty hỗ trợ chi phí : nhà ký túc xá ở CBNV, suất ăn trưa và chế độ đi lại/ năm.Làm việc môi trường thân thiện, chuyên nghiệp.Phát huy tối đa khả năng chủ động và sáng tạoThu nhập cao tương xứng với năng lực.Cơ hội thăng tiến cao, phát triển bản thân.Nhận được các phúc lợi : Lương theo năng lực,  các chế độ thưởng theo qui định công ty.Chính sách BHXH, BHYT đúng quy định của Luật lao động.Được làm việc các giải pháp SP ERP.Được tham gia các huấn luyện đào tạo giải pháp với các chuyên gia (nếu có).",CÔNG TY CỔ PHẦN NGỌC TRAI LONG BEACH,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ngoc-trai-long-beach/48527.html,https://www.topcv.vn/viec-lam/lap-trinh-vien/1477079.html?ta_source=ITJobs_LinkDetail
"Tester
        Fresher/ Junior (Tiếng Nhật)",Nhân viên,Không yêu cầu kinh nghiệm,2 người,Toàn thời gian,Nữ,"Đọc hiểu các tài liệu đặc tả hệ thống, yêu cầu nghiệp vụ, tài liệu thiết kế liên quanLập kế hoạch và estimate các task liên quan tới testViết testcase và thực hiện testLog bug và theo dõi tiến độ fix bugLàm việc mật thiết với developer để tái hiện, fix bugNghiên cứu các công nghệ kiểm thử tự động, cải thiện quy trình test","Có kinh nghiệm viết test case, thực hiện testKỹ năng giao tiếp tốt, hoà đồngTin học văn phòng cơ bảnTiếng Nhật N3 trở lên","Làm việc từ thứ 2 tới thứ 6 (9:00 – 18:00)Tháng lương thứ 13Thiết bị làm việc - MacBookDu lịch công ty (1 năm một lần), team building (hàng quý) và các hoạt động thường niên khác",TNHH Công Nghệ SkyLab Việt Nam,https://www.topcv.vn/cong-ty/tnhh-cong-nghe-skylab-viet-nam/86611.html,https://www.topcv.vn/viec-lam/tester-fresher-junior-tieng-nhat/638505.html?ta_source=ITJobs_LinkDetail
"Full-Stack
        1-3 Năm Kinh Nghiệm,
            Tiếng Nhật
        N3",Nhân viên,1 năm,1 người,Toàn thời gian,Không yêu cầu,"• Tham gia phát triển hệ thống phần mềm và các tính năng theo yêu cầu của khách hàng Nhật, Âu, Mỹ.• Hợp tác và trao đổi công việc với Team Member, Project manager.• Tham gia phát triển các công đoạn phân tích yêu cầu, Detail Design, Coding, viết tài liệu API, Unit Test.• Có thể đảm nhận các công đoạn coding backend, frontend.","• Có khả năng giao tiếp tiếng Nhật cơ bản (tương đương N3 trở lên).• Có kiến thức nền tảng tốt về lập trình (OOP, cấu trúc dữ liệu và giải thuật...).• Có kiến thức nền tảng tốt về cơ sở dữ liệu quan hệ (thiết kế, sử dụng...).• 1 năm kinh nghiệm lập trình sử dụng ngôn ngữ PHP hoặc Python, Ruby.• 1 năm kinh nghiệm lập trình Frontend sử dụng HTML/CSS/Javascript, TypeScript.• Có kinh nghiệm lâp trình sử dụng Reactjs, Nextjs, Boostrap, Jquery...• Nhiệt tình, teamwork tốt, sẵn sàng học hỏi các công nghệ mới để đáp ứng công việc.• Có tư duy hệ thống, tư duy logic tốt, tiếp thu kiến thức mới nhanh, có khả năng đề xuất vấn đề và giải quyết vấn đề.• Có kinh nghiệm làm về Firebase, Stripe connect là một lợi thế.","• Mức lương khởi điểm hấp dẫn, cạnh tranh, tương xứng với năng lực và kinh nghiệm làm việc.• Review lương 2 lần/năm, lương tháng 13.• Tham gia BHXH, BHYT, BHTN đầy đủ theo Luật lao động.• Nghỉ phép 12 ngày/năm.• Hưởng mọi quyền lợi nghỉ Lễ Tết kèm theo thưởng ngày Lễ/Tết trong năm.• Team building định kỳ hàng Quý, du lịch 1 lần/năm.• Thời gian làm việc: 08:00 đến 17:00 từ Thứ Hai đến thứ Sáu.• Môi trường làm việc thoải mái, trẻ trung, năng động, có nhiều cơ hội thăng tiến và phát triển bản thân.",CÔNG TY TNHH MUMESOFT INNOVATION,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mumesoft-innovation/139952.html,https://www.topcv.vn/viec-lam/full-stack-1-3-nam-kinh-nghiem-tieng-nhat-n3/1327151.html?ta_source=ITJobs_LinkDetail
Senior PHP Developer,Nhân viên,5 năm,1 người,Toàn thời gian,Không yêu cầu,"Implementing High Quality web site/applicationIntegrating the front-end elements built by your co-workers into the applicationTesting carefully functions, projects before delivering to customersSharing development knowledge, challenges with other membersMaintaining codes, providing technical support, as well as building new exciting tools in Laravel","Have more than 5 years experience in PHP developer (Laravel, CI,...)Implementing High Quality web site/applicationIntegrating the front-end elements built by your co-workers into the applicationTesting carefully functions, projects before delivering to customersSharing development knowledge, challenges with other membersMaintaining codes, providing technical support, as well as building new exciting tools in Laravel","Why you’ll Love Working Here13 month salary per yearPerformance bonusPerformance appraisal once a year and you could request unlimited to be reviewed whenever you likeSocial – Health – Insurance paid fullyHealthcare: Annual health check-up, Premium Health InsuranceAnnual leaves: 12 daysFootball clubFrom Vietnam, we have crafted brilliant products for millions of users in the US.We’re committed to investing in our people and building a workplace you’ll love coming to every day.Building large-scale & latest technology software productsWorking & growing with Passionate & Talented TeamAttractive Salary and BenefitsFlexible working timeFree in-house entertainment facilities: tea, coffee and snack (instant noodles, cookies, candies...)Western management style: professional, dynamic, open minded, creative, supportive, friendly, and encouraged for feedback.Company trip, big annual year-end party every year, team building, etc.",Công Ty TNHH MTV Phần Mềm Javac Technology,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-phan-mem-javac-technology/20858.html,https://www.topcv.vn/viec-lam/senior-php-developer/1477098.html?ta_source=ITJobs_LinkDetail
"Chuyên Viên Kiểm Thử
        (Tester)",Nhân viên,2 năm,2 người,Toàn thời gian,Không yêu cầu,"Chịu trách nhiệm chung về công việc kiểm thử trong các dự án được phân công.Xây dựng kế hoạch kiểm thử chi tiết; kịch bản kiểm thử và chuẩn bị dữ liệu kiểm thử, review kịch bản kiểm thử của các thành viên trong nhóm.Thực hiện kiểm thử, ghi nhận kết quả kiểm thử, xây dựng và quản lý hệ thống bug tracking, và báo cáo tiến độ kiểm thử.Thực hiện phân tích và báo cáo kết quả kiểm thử, xác định các vấn đề và đề xuất các giải pháp cải thiện chất lượng sản phẩm.Đảm bảo rằng tất cả các sản phẩm phần mềm đều đáp ứng được tiêu chuẩn chất lượng cao và yêu cầu của khách hàng.Tổ chức các luồng kiểm thử của Dự án bao gồm: Kiểm thử chức năng (functional test/practice test), chuyển đổi dữ liệu, thử nghiệm phần mềm và hỗ trợ đưa hệ thống vào sử dụng.Quản lý và đào tạo các thành viên trong nhóm kiểm thử, đảm bảo rằng tất cả các thành viên đều hiểu rõ quy trình kiểm thử và tiêu chuẩn chất lượng. Hướng dẫn và định hướng chuyên môn cho các nhân sự của team.Tham gia các công việc liên quan đến cải tiến năng suất chất lượng, quy trình kiểm thử. Nghiên cứu các công cụ, công nghệ mới áp dụng vào công việc.Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.","Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Quản trị Kinh doanh, hoặc các ngành liên quan.Từ 2 năm kinh nghiệm làm việc trong lĩnh vực kiểm thử phần mềm.Ưu tiên ứng viên có kinh nghiệm trong các domain ecommerce hoặc đã làm các sản phẩm omnichannel, POS, viễn thông.Có kinh nghiệm và kiến thức vững chắc về các phương pháp và quy trình kiểm thử phần mềm.Nắm vững các phương pháp kiểm thử phần mềm như: Blackbox, Whitebox, Integration, System, Acceptance Testing, v.v...Kỹ năng phân tích tài liệu, yêu cầu, báo cáo, viết tài liệu tốt.Cẩn thận, tỉ mỉ, trách nhiệm cao, có khả năng xử lý tình huống tốt.Có tư duy logic tốt, nắm bắt nghiệp vụ nhanh, tinh thần trách nhiệm cao.Kỹ năng làm việc nhóm, quản lý nhóm, có khả năng định hướng và hỗ trợ các thành viên trong nhóm đạt được mục tiêu chung. Làm việc độc lập tốt.Chịu được áp lực về mặt thời gian và sẵn sàng OT khi dự án cần.Tư duy chủ động, sáng tạo, có đam mê cập nhật các xu hướng, công nghệ mới trong ngành.","- Lương thỏa thuận theo kinh nghiệm và năng lực.- Tham gia các khóa đào tạo kỹ năng mềm phục vụ cho công việc.- Được hưởng đầy đủ BHXH, BHYT và BHTN theo luật lao động Việt Nam hiện hành.- Được hưởng đầy đủ các chế độ phúc lợi của công ty, thưởng các ngày lễ tết trong năm, lương tháng 13.- Được làm việc trong một môi trường công việc thực tế, năng động cùng với các chuyên gia hàng đầu trong nhiều lĩnh vực của công ty.- Xét tăng lương hàng năm.- Du lịch, team building.- Nhiều chính sách đãi ngộ hấp dẫn khác.",CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-foxai/156905.html,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-tester/1442540.html?ta_source=ITJobs_LinkDetail
"Chuyên Viên Phân Tích Nghiệp Vụ
        (Business Analyst)",Nhân viên,2 năm,2 người,Toàn thời gian,Không yêu cầu,"- Tham gia các dự án với vai trò BA của lĩnh vực phần mềm quản trị doanh nghiệp.- Khảo sát, thu thập yêu cầu về dự án, tìm hiểu các quy trình nghiệp vụ cần thực hiện.- Tài liệu hóa nghiệp vụ thành các tài liệu Phân tích yêu cầu, mô tả/ đặc tả chức năng, quy trình nghiệp vụ (workflows), giao diện mẫu (Prototype, wireframe) bàn giao cho đội phát triển dự án.- Tham gia tương tác, phối hợp với các bộ phận khác (kiểm thử, UI/UX, lập trình ...) trong quá trình phát triển để đảm bảo các thành viên dự án hiểu rõ và hiểu đúng yêu cầu cần đáp ứng.- Hỗ trợ lập kế hoạch, đánh giá, kiểm tra chất lượng sản phẩm phần mềm.- Thực hiện, hỗ trợ các công việc theo sự phân công của cấp Quản lý.","- Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Quản trị Kinh doanh, hoặc các ngành liên quan.- Có từ 2 năm kinh nghiệm ở vị trí tương đương.- Có nền tảng kiến thức về công nghệ thông tin và phát triển phần mềm.- Kinh nghiệm/ khả năng làm UI/UX là một lợi thế- Có chứng chỉ nghiệp vụ BA là một lợi thế.- Có khả năng làm việc độc lập và theo nhóm- Có kỹ năng giao tiếp, kỹ năng giải quyết vấn đề tốt- Có tư duy tốt về logic và xử lý tình huống linh hoạt","- Lương thỏa thuận theo kinh nghiệm và năng lực.- Tham gia các khóa đào tạo kỹ năng mềm phục vụ cho công việc.- Được hưởng đầy đủ BHXH, BHYT và BHTN theo luật lao động Việt Nam hiện hành.- Được hưởng đầy đủ các chế độ phúc lợi của công ty, thưởng các ngày lễ tết trong năm, lương tháng 13.- Được làm việc trong một môi trường công việc thực tế, năng động cùng với các chuyên gia hàng đầu trong nhiều lĩnh vực của công ty.- Xét tăng lương 1 lần / năm.- Du lịch, team building.- Nhiều chính sách đãi ngộ hấp dẫn khác.",CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-foxai/156905.html,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst/1442562.html?ta_source=ITJobs_LinkDetail
"IT
        Support/
            System Admin
        -
            Đi Làm Ngay",Nhân viên,Không yêu cầu kinh nghiệm,1 người,Toàn thời gian,Nam,"Cài đặt, khắc phục sự cố PC, Laptop, Điện thoại IP và Máy in...Cài đặt, khắc phục sự cố, thiết bị mạng, máy chủ, v.v.Hỗ trợ Ứng dụng phòng Lab (Cài đặt, khắc phục sự cố, phần mềm ứng dụng...)Thiết lập tài khoản người sử dụng, cấp quyền và mật khẩuHỗ trợ kỹ thuật cho người sử dụng mạngQuản trị và giám sát việc sử dụng hệ thống mạng hàng ngàyĐào tạo nhân viên, người sử dụng về hệ thốngKiểm tra và chỉnh sửa thiết bị bị lỗiGiám sát bảo mật cho hệ thốngĐảm bảo nắm tất cả CNTT cơ bảnLập kế hoạch cải tiến, đề xuất các giải pháp CNTT cho các vấn đề phát sinh.","Bằng cấp Công nghệ thông tin (hoặc tương đương)Kỹ năng phân tích và giải quyết vấn đề tốtCó khả năng giải thích các vấn đề kỹ thuật một cách đơn giảnTư duy logicKỹ năng làm việc với mọi ngườiLưu giữ hồ sơ, dữ liệu chính xác","Mức lương cạnh tranh, phù hợp với năng lực và kinh nghiệmĐược hưởng đầy đủ các chế độ theo Luật Lao động: BHXH, BHYT, BHTNMôi trường làm việc chuyên nghiệp, thân thiện và năng độngCơ hội học hỏi, phát triển kỹ năng và kinh nghiệm trong lĩnh vực kế toán và tài chínhĐược đào tạo và nâng cao nghiệp vụ thường xuyênTham gia các hoạt động team building, du lịch nghỉ mát hàng nămKhám sức khỏe định kỳ hàng nămThưởng các ngày lễ tết và thưởng theo hiệu quả công việc",Viện nghiên cứu và phát triển Sản phẩm thiên nhiên,https://www.topcv.vn/cong-ty/vien-nghien-cuu-va-phat-trien-san-pham-thien-nhien/35205.html,https://www.topcv.vn/viec-lam/it-support-system-admin-di-lam-ngay/1475724.html?ta_source=ITJobs_LinkDetail
"Chuyên Viên Phân Tích Kinh Doanh
        (BA)",Nhân viên,1 năm,2 người,Toàn thời gian,Không yêu cầu,"Thực hiện nghiên cứu thị trường và phân tích đối thủ cạnh tranh để tìm kiếm cơ hội phát triển sản phẩm mới và cải thiện các tính năng hiện có.Làm việc chặt chẽ với các nhóm quản lý dự án, phát triển phần mềm và dữ liệu để chuyển đổi nhu cầu kinh doanh thành yêu cầu kỹ thuật rõ ràng.Xây dựng các báo cáo phân tích kinh doanh, case studies và user stories để hỗ trợ phát triển sản phẩm.Phân tích hiệu suất của sản phẩm hiện tại và đưa ra các khuyến nghị cải tiến nhằm tối ưu hóa hiệu quả hoạt động.Hợp tác với các đội ngũ nội bộ để đảm bảo chiến lược sản phẩm phù hợp với mục tiêu kinh doanh.","Tốt nghiệp đại học các ngành tài chính, kinh doanh, kinh tế hoặc các lĩnh vực liên quan.Ít nhất 1 năm kinh nghiệm làm việc trong vai trò Business Analyst hoặc các vị trí liên quan trong lĩnh vực tài chính, chứng khoán, hoặc fintech.Thành thạo các công cụ phân tích dữ liệu (như Excel, SQL, Python) và quen thuộc với các công cụ trực quan hóa dữ liệu (như Power BI, Tableau, Metabase).Kỹ năng giao tiếp, làm việc nhóm tốt, cùng với khả năng tư duy logic, phân tích và giải quyết vấn đề.Kỹ năng giao tiếp bằng tiếng Anh tốt.","Gói lương cạnh tranh theo năng lực.Xem xét tăng lương 1 lần/năm.Trợ cấp ăn trưa và trợ cấp di chuyển.Được chăm sóc sức khỏe định kỳ hàng năm, Bảo hiểm tai nạn 24/24 (BẢO HIỂM Y TẾ) và Bảo hiểm xã hội với gói lương 100%.Gói bảo hiểm y tế tại PJICO.Tham gia các chương trình đào tạo của công ty.Tiền thưởng bao gồm: KPI thưởng, kết quả kinh doanh cuối năm và thưởng Tết từ 3 đến 6 tháng lương (bao gồm tháng thứ 13).Ngày nghỉ: 12 ngày/năm.",Công ty Cổ phần Chứng khoán Phú Hưng,https://www.topcv.vn/cong-ty/cong-ty-co-phan-chung-khoan-phu-hung/51362.html,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-kinh-doanh-ba/1477054.html?ta_source=ITJobs_LinkDetail
Senior Java Developer,Nhân viên,Trên 5 năm,5 người,Toàn thời gian,Không yêu cầu,"Tham gia phát triển các dự án Ngân hàng số (Viettel Pay, Mobile Money, ví cá nhân, ví doanh nghiệp, ...). Cung cấp sản phẩm ứng dụng thanh toán và chuyển tiền với số lượng giao dịch rất lớn, đòi hỏi hiệu năng xử lý caoXây dựng các hệ thống Tài chính điện tử cho các thị trường nước ngoài mà Viettel đầu tưTham gia làm rõ nghiệp vụ, thiết kế giải pháp, phát triển nâng cấp hệ thống theo yêu cầuTham gia review thiết kế, review code, tối ưu hệ thống đáp ứng lưu lượng truy cập caoNghiên cứu áp dụng công nghệ mới nâng cao chất lượng, tối ưu nguồn lực phát triển","Tốt nghiệp đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Đặc biệt ưu tiên các trường Học viện Công nghệ Bưu chính Viễn thông, Đại học Bách khoa Hà Nội, Đại học FPT, Đại học Công nghệ,...Tiếng Anh tương đương 650+ TOEICÍt nhất 05 năm kinh nghiệm phát triển các sản phẩm/dự án xây dựng bằng ngôn ngữ Java , trong đó ưu tiên có ít nhất 1 năm kinh nghiệm quản lý teamThành thạo Java Core, các framework Java như EE, Spring, Struts, Hibernate ... và một số design pattern thông dụngTư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng ...Thành thạo SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, noSQL, có khả năng tối ưu CSDLƯu tiên có hiểu biết về nghiệp vụ tài chính, có kinh nghiệm về microservices, ham học hỏi tìm tòi sáng tạo cái mới","Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấnChính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn ViettelĐóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng nămCơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt NamCơ hội thăng tiến rõ ràng với nhiều cấp bậcCơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnCông việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời.Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình.Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ ngườiTham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,...Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngàyThưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",Viettel Digital,https://www.topcv.vn/cong-ty/viettel-digital/25269.html,https://www.topcv.vn/viec-lam/senior-java-developer/1313015.html?ta_source=ITJobs_LinkDetail
Solution Architect,Trưởng nhóm,2 năm,2 người,Toàn thời gian,Không yêu cầu,"Phân tích yêu cầu kỹ thuật của sản phẩm, lựa chọn công nghệ và xây dựng kiến trúc hệ thống cho sản phẩm và hệ thống nội bộ của công tyĐánh giá cấu trúc hệ thống hiện tại, đề xuất các giải pháp để cải thiện hệ thống, giám sát và hướng dẫn team dev thực hiện các giải pháp đưa raPhân tích yêu cầu dự án, thiết kế giải pháp cho từng dự án cụ thểGiải quyết các vấn đề kỹ thuật phát sinhNghiên cứu các công nghệ hiện và đề xuất thay đổi khi cần thiết","Tốt nghiệp đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Đặc biệt ưu tiên các trường Học viện Công nghệ Bưu chính Viễn thông, Đại học Bách khoa Hà Nội,...Tiếng Anh: tương đương 650+ TOEIC trở lênCó ít nhất 02 năm kinh nghiệm ở vị trí Solution Architect, Solution Design hoặc các vị trí tương đương, (ưu tiên kinh nghiệm thiết kế các hệ thống lớn, đặc biệt là các hệ thống tài chính)Sở hữu ít nhất 03 năm kinh nghiệm Software Developer (ưu tiên các Developer sử dụng ngôn ngữ Java, JavaScript)Yêu thích tìm hiểu công nghệ, cập nhật xu hướng công nghệ mới và có khả năng phân tích ứng dụng công nghệ trong các bài toán cụ thểHiểu biết và nắm vững quy trình phát triển phần mềmAm hiểu các hệ điều hành và cơ sở dữ liệu khác nhau","Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấnChính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn ViettelĐóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng nămCơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt NamCơ hội thăng tiến rõ ràng với nhiều cấp bậcCơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạnCông việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời.Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình.Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ ngườiTham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,...Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngàyThưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng.",Viettel Digital,https://www.topcv.vn/cong-ty/viettel-digital/25269.html,https://www.topcv.vn/viec-lam/solution-architect/1313055.html?ta_source=ITJobs_LinkDetail
