title,level,experience,recruit_quantity,form_of_work,gender,describe,require,interest,company_name,company_link,job_link
"Telesale
        Không Yêu Cầu Kinh Nghiệm",Nhân viên,Không yêu cầu kinh nghiệm,3 người,Toàn thời gian,Không yêu cầu,"Giới thiệu, tư vấn và chốt đơn về những khóa học giao tiếp Tiếng Anh 1-1 với giáo viên nước ngoài cho Khách hàng khu vực miền Nam Tư vấn cho khách hàng qua hình thức Telesales (được cung cấp điện thoại) theo Data tiềm năng có sẵn và được cung cấp hàng ngày.Chịu trách nhiệm hoàn thành chỉ tiêu được giao.Thực hiện các công việc khác theo yêu cầu của Quản lý","Ưu tiên ứng viên yêu thích thích công việc tư vấn, telesale, đặc biệt là trong mảng giáo dụcKhả năng giao tiếp tốt, trung thực, nhiệt tình, có trách nhiệm với công việcNhanh nhẹn, chủ động, ham học hỏi","Lương cứng: 7-8M. Tổng thu nhập trung bình từ 15M – 25M/tháng.Bao gồm lương cứng + lương com + thưởng khác.Lương cứng chia theo level, deal theo năng lực, cạnh tranh với thị trường.Thử việc 2 tháng, nhận 100% lương cứng. Tổng thu nhập trong thời gian chính thức đạt trung bình từ 15M – 25M triệu/tháng.Chế độ thưởng nóng, thưởng kỳ, thưởng dự án,....Review lương và điều chỉnh level sau mỗi 3-4 tháng khi KPI đạt liên tiếp Cơ hội phát triển:Được đào tạo bài bản theo lộ trình bởi Trưởng Phòng Kinh doanh có nhiều năm kinh nghiệm trong ngành Telesales và giáo dụcĐược training về sản phẩm, kịch bản tư vấn, kỹ năng xử lý tình huống trong quá trình thử việc và chính thứcPhát triển theo 2 hướng: quản lý hoặc chuyên gia telesales/đào tạo/giám sát.Cơ chế phúc lợi khác:Thưởng tiền mặt hoặc quà tặng vào các dịp lễ tết, lương tháng thứ 13... theo chính sách của Công ty.Ăn trưa tại công ty.Cung cấp đầy đủ máy tính, thiết bị làm việc hiện đại, cấu hình cao.Xét tăng lương theo năng lực và kết quả làm việc.Các cơ hội phát triển năng lực và thăng tiến lên vị trí cao hơn luôn rộng mở.Đóng BHXH ngay khi vào chính thứcĐược hưởng ưu đãi cao khi mua sản phẩm của công ty.Được hỗ trợ chi phí tham gia các khóa học nâng cao chuyên môn theo định hướng của Công ty.Các hoạt động team building, các event chăm lo đời sống tinh thần của nhân viên như sinh nhật, liên hoan hàng tháng,... Môi trường làm việc trẻ trung, năng động, đề cao và tôn trọng ý kiến cá nhân, ý tưởng sáng tạo nhằm nâng cao năng suất và hiệu quả công việc.",Công ty TNHH Bitu Việt Nam,https://www.topcv.vn/cong-ty/cong-ty-tnhh-bitu-viet-nam/71456.html,https://www.topcv.vn/viec-lam/telesale-khong-yeu-cau-kinh-nghiem/1474256.html?ta_source=ITJobs_LinkDetail
"Front End Developer
        (Javascript/Typescript,NextJS)",Nhân viên,1 năm,2 người,Toàn thời gian,Không yêu cầu,"Zami đang tìm kiếm một lập trình viên Front-End để tham gia vào các dự án của công ty.Trọng tâm chính của bạn là sẽ phát triển phần giao diện người dùng cho các dự án của công ty hoặc dự án của khách hàng về các lĩnh vực khác nhau từ bán lẻ đến ứng dụng cho doanh nghiệp. Nhiệm vụ của bạn:Đảm bảo hiệu suất, chất lượng và khả năng đáp ứng tốt nhất có thể của các ứng dụng ở phía Front-endTham gia lập trình các ứng dụng web Phối hợp cùng team tech và các team sale, marketing để đảm bảo tiến độ công việc","Có ít nhất 6 tháng – 1 năm kinh nghiệm phát triển FE dựa trên Reactjs/Nextjs (Ưu tiên kinh nghiệm cao)Sử dụng được TypescriptCó kinh nghiệm làm việc với RESTful APIs and WebsocketCó kinh nghiệm làm việc với Figma, phát triển ứng dụng dựa trên bản thiết kế FigmaCó kinh nghiệm với các công cụ cộng tác như Git, Jira và ConfluenceKiến thức tốt về OOP, code sạchTiếng anh giao tiếp cơ bảnNice to have:Hiểu biết các ngôn ngữ BE: nodejs/python/phpCó thể deploy ứng dụng trên linux server hoặc docker","Why you'll love working here:Lương, thưởng sẽ được thảo luận sau khi thông qua CV & Phỏng vấnReview đánh giá năng lực hàng năm và điều chỉnh tăng lương theo hiệu quả công việcCơ hội phát triển nghề nghiệp tốt với các dự án thú vị và đầy thử tháchCác hoạt động ngoài trời với sự hỗ trợ của công ty: câu lạc bộ thể thao, team building, tiệc happy hour, sinh nhật, du lịch, sự kiện nhân viên và gia đình, v.v.",CÔNG TY TNHH ZAMIAPP,https://www.topcv.vn/cong-ty/cong-ty-tnhh-zamiapp/191133.html,https://www.topcv.vn/viec-lam/front-end-developer-javascript-typescript-nextjs/1474630.html?ta_source=ITJobs_LinkDetail
"Kỹ Thuật Viên
        CNTT / Điện Tử Viễn Thông",Nhân viên,1 năm,2 người,Toàn thời gian,Nam,"Cài đặt, sửa chữa và bảo trì Laptop, PC và các thiết bị văn phòng (máy in, máy scan, máy chấm công...).Triển khai lắp đặt hệ thống mạng Lan, Internet, Wifi, thi công hệ thống camera an ninh, camera giám sát...Xử lý sự cố, sao lưu data và hỗ trợ người dùng.Tìm hiểu và đề xuất, triển khai các giải pháp công nghệ thông tin, điện tử viễn thông để đáp ứng nhu cầu của khách hàng.Thực hiện các công việc khác theo yêu cầu của cấp trên.","Tốt nghiệp từ trung cấp trở lên chuyên ngành CNTT hoặc điện tử viễn thông.Có kiến thức tốt về phần cứng máy tính và các thiết bị mạng, camera an ninh, giám sát...Có ý thức kỷ luật cao, có tinh thần cầu tiến, có khả năng làm việc độc lập.Ưu tiên các ứng viên có kiến thức tốt về CNTT và Điện tử viễn thông, có kinh nghiệm về các giải pháp CNTT & Điện tử viễn thông.","Môi trường làm việc năng động, hòa đồng, tinh thần hỗ trợ cao.Có cơ hội thăng tiến, được đào tạo và bồi dưỡng kĩ năng, chuyên môn, nghiệp vụ.Đóng BHXH theo luật BHXH và Luật lao động.Có đầy đủ các chế độ phụ cấp khác theo quy định của công ty.Thưởng vượt tiến độ, thưởng dự án.Lương tháng 13,... và thưởng hiệu suất cuối năm.",Công ty TNHH MTV HN DOTNET,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-hn-dotnet/48024.html,https://www.topcv.vn/viec-lam/ky-thuat-vien-cntt-dien-tu-vien-thong/1474519.html?ta_source=ITJobs_LinkDetail
"Senior
            Business Intelligence",Nhân viên,5 năm,1 người,Toàn thời gian,Không yêu cầu,Develop and implement dashboards and reports to support end-user business requirements.Build and maintain reports and dashboards.Gather requirements from stakeholders to build reports and dashboards.Perform ad-hoc analysis to analyze business cases and present it to stakeholders.Collaborate with the Data Management team to build and enhance data martsPerform other tasks assigned by management,"Basic requirements:- Language: Good in English (Listening – Speaking – Reading – Writing)Qualifications:Bachelor’s degree in Economics, Mathematics, Statistics, or Computer Science (or equivalent experience)5+ years corporate experienceIntermediate knowledge in SQLGood to have: Experience building data visualization dashboards (e.g. Tableau, Data Studio)Good to have: Intermediate experience in data gathering from various sources and handling, cleaning, and processing of information to generate resultsCurious in nature and driven to learnStrong analytical, problem-solving, and collaboration skillsAttention to detailSelf-starter with a desire to learn and rapidly understand the business and its drivers","Compensation:Salary increment and bonus based on OKRs mid-year and year-end review.13th-14th month salary in accordance with Company’s policies and regulations.12 days of leaves with full salary. Up to 10 days of sick leaveMeal, gasoline, and mobile phone allowance and personal health insurance package allowanceAnnual summer vacation, Team-building activities monthly.Holidays bonusLearning and Development programsAnd other benefits according to the Company’s compensation system.Office hours: Monday- Friday, from 8:30am-5:45pm.Friendly, high-performance, dynamic and modern working environment in a leading Fintech company in Southeast Asia.Working with the modern equipment needed to improve work efficiency.Cooperating and working with many domestic and multinational partners.",CÔNG TY TNHH DỊCH VỤ TFS,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dich-vu-tfs/163604.html,https://www.topcv.vn/viec-lam/senior-business-intelligence/1474619.html?ta_source=ITJobs_LinkDetail
"Quality Assurance
        Automation",Nhân viên,Trên 5 năm,2 người,Toàn thời gian,Không yêu cầu,"About usA subsidiary of the FPT Group, FPT Software is known as a leading global information technology service provider headquartered in Vietnam. With over 30,000 employees working in 83 offices across 30 countries on five continents, FPT Software consistently delivers the best solutions to more than 1000 clients, including 100 Fortune 500 companies. Placing human resources as the cornerstone of its achievements, employee experience is our top priority in continually creating an innovative, open, and enjoyable work environment for every member.In 2023, FPT Software officially made its mark on the global billion-dollar company list. This is evidence of the talent and efforts of multiple generations of employees at FPT Software.Why not explore your potential and embark on a brilliant journey with us?Responsibilities• Design automation test cases and execute tests on Desktop and Mobile.• Create a test plan and test report.• Perform thorough regression testing.• Create the automation test for manual test cases on Desktop browsers and Mobiles.• Find and report bugs.• Perform the testing activities, work closely with the Developers/BA in a Scrum team.• Identify areas of improvement to drive the quality of the products.For Senior Level:• Coach other junior team members to help them reach their maximum potential","• Bachelor’s and/or master’s Degree in computer science or related field or relevant IT experience• 5+ years test manual testing experience• 3+ years of automation development experience in Selenium Web Driver or any other automation tools the same years of experience in an equivalent Object-Oriented language• 3+ Years’ Experience in writing SQL queries and strong knowledge in relational database structures• In-cycle experience in Test Automation in an Agile environment• Proficient in writing testing scripts in test frameworks, enhancements in framework• Object Oriented programming experience• Knowledge of modern test development patterns like POM (Page Object Model)• Experience with unit testing REST-based APIs and Services• Demonstrated knowledge of HTML, CSS and JavaScript• Demonstrated knowledge of continuous integration and continuous deployment best practices and build tools i.e., Rake, Maven and Ant• Experience with version control tools like Git, VSTS or SVN• Strong familiarity with SOAP and REST• Proven expertise in engineering best practices in unit, functional and non-functional testing• Excellent interpersonal and communication skills","• “FPT care” health insurance provided by Petrolimex (PJICO) and is exclusive for FPT employees.• Annual Summer Vacation: follows company’s policy and starts from May every year• Salary review: 1 time per year• International, dynamic, friendly working environment• Annual leave, working conditions follow Vietnam labor laws.• Other allowances: lunch allowance, working on-site allowance, etc.",FPT Software,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/viec-lam/quality-assurance-automation/1474634.html?ta_source=ITJobs_LinkDetail
"Kỹ Thuật Viên
        Internet",Nhân viên,Không yêu cầu kinh nghiệm,2 người,Toàn thời gian,Không yêu cầu,"Bảo trì, khắc phục lỗi kỹ thuật logic dịch vụ Internet, dịch vụ Truyền hình IPTV và các dịch vụ viễn thông tại nhà khách hàng do FPT Telecom cung cấp.Tư vấn giải pháp, mô hình mạng và hướng dẫn khách hàng sử dụng các dịch vụ viễn thôngCài đặt, cấu hình dịch vụ Truyền hình IPTV,Wifi marketing, Camera, VoipHỗ trợ các dịch vụ, phối hợp với các bộ phận liên quan “mang đến sự hài lòng cho khách hàng”","Nam tuổi từ 20-33, sức khỏe tốtTốt nghiệp từ Cao đẳng trở lên chuyên ngành: Công nghệ thông tin, Điện tử viễn thông, Quản trị mạng, Tin học ứng dụngCó kiến thức về máy tính, mạng internetCó chứng chỉ CCNA, MCSA, CCNP... là ưu thếKỹ năng giao tiếp tốt, có khả năng làm việc độc lập, làm việc nhómCó laptop, Smartphone hệ điều hành Android và phương tiện đi lại (xe máy)","Thu nhập: Cạnh tranh tùy theo năng lực, thu nhập chính thức thấp nhất từ 8 triệu/tháng sau thời gian thử việc (trung bình 12-20 triệu/tháng)Được xét tăng lương định kỳ 3 tháng 1 lần theo năng lực (thi phân bậc) và nhiều cơ hội thăng tiến trong ngành Viễn thôngĐược đào tạo kỹ năng, chuyên môn từ CƠ BẢN đến NÂNG CAOThời gian thử việc có thể được rút ngắn, ký hợp đồng chính thức ngay sau 1 tháng đầu tiên nếu thực hiện tốt công việcCông thức lương rõ ràng, đảm bảo tương xứng với hiệu quả công việcĐược đóng đầy đủ BHYT, BHXH, BHTN, công đoàn theo quy định pháp luậtĐược hưởng các chương trình phúc lợi nội bộ bao gồm Khám sức khỏe định kỳ, ưu đãi cước của FPT Telecom, Ưu đãi mua hàng FPT ShopĐược tham gia các hoạt động văn hóa đoàn thể trong năm: Nghỉ mát, Teambuilding, Thể thao....Môi trường làm việc thân thiện, chuyên nghiệp, năng động và lộ trình thăng tiến rõ ràng",Công ty Cổ phần viễn thông FPT,https://www.topcv.vn/cong-ty/cong-ty-co-phan-vien-thong-fpt/2419.html,https://www.topcv.vn/viec-lam/ky-thuat-vien-internet/1474317.html?ta_source=ITJobs_LinkDetail
"Mobile App
            Tester",Nhân viên,Không yêu cầu kinh nghiệm,1 người,Toàn thời gian,Không yêu cầu,"- Tham gia quá trình phân tích sản phẩm.- Chịu trách nghiệm thực hiện kiểm thử hệ thống, viết kịch bản / lên kế hoạch / thực hiện kiểm thử và thông báo kết quả.- Thực hiện và review test process.- Tham gia đào tạo hỗ trợ vận hành sản phẩm cho người dùng.- Tích cực đóng góp ý kiến xây dựng, cải tiến sản phẩm.- Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.","- Có kiến thức về test app mobile.- Ưu tiên tuyển nữ.- Tư duy logic, có khả năng tiếp thu và làm việc nhanh nhạy.- Chăm chỉ, kiên trì, cẩn thận, giao tiếp tốt và ham học hỏi.","- Môi trường làm việc thoải mái, đề cao tính sáng tạo.- Được đào tạo trở thành tester chuyên nghiệp.- Được đào tạo về nghiệp vụ của các sản phẩm- Được tham gia BHYT, BHXH, BHTN",CÔNG TY TNHH MTV NMH GLOBAL,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-nmh-global/152526.html,https://www.topcv.vn/viec-lam/mobile-app-tester/1389600.html?ta_source=ITJobs_LinkDetail
Tester Intern,Thực tập sinh,Không yêu cầu kinh nghiệm,2 người,Toàn thời gian,Không yêu cầu,"Tham gia rà soát và phân tích các yêu cầu nghiệp vụ để hiểu về mục tiêu của dự án, cung cấp các thông tin đầu vào làm cơ sở để kiểm thử và dự kiến về các hoạt động kiểm thử cần có. Triển khai các kịch bản kiểm thử, kiểm thử về hiệu năng vận hành và báo cáo về các lỗi phát sinh, định nghĩa mức độ ưu tiên của mỗi lỗi. Đảm bảo việc kiểm thử được thực hiện tuân thủ theo các chuẩn và thủ tục kiểm thử. Nghiên cứu tài liệu dự án cùng project team leader và thành viên dự án","Có khả năng xây dựng test design, test strategy và tổng hợp test report.Có kinh nghiệm test mobile cho các sản phẩm là 1 lợi thế. Hiểu các loại test như Unit Test, Integration Test, Regression Testing.Hiểu quy trình test sản phẩm.Có kỹ năng test performance, security.Tiếng Anh or Tiếng Nhật là một lợi thế","Nhiều chương trình đào tạo hard/soft skills chất lượng và miễn phí trong công ty; Tham gia các sự kiện nội bộ: Happy hour, CEO Talk, CLB bóng đá, các ngày lễ,....siêu thú vị; Môi trường làm việc năng động, chuyên nghiệp, teammate nhiệt tình; Công ty định hướng mở rộng quy mô lớn, cơ hội thăng tiến và phát triển bản thân cao.",CÔNG TY TNHH CÔNG NGHỆ RIKAI,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-rikai/32673.html,https://www.topcv.vn/viec-lam/tester-intern/1284734.html?ta_source=ITJobs_LinkDetail
Nhân Viên Kỹ Thuật,Nhân viên,1 năm,4 người,Toàn thời gian,Nam,"Setup được camera Ip, Router mạngSetup hệ thống nhà thông minhBiết cơ bản về điện.Lắp đặt, bảo trì và sửa chữa camera, khóa từ, các thiết bị mạng, nhà thông minh, hệ thống kiểm soát ra vào,...","Biết sử dụng dụng cụ điện (Máy cắt, máy khoan)Chăm chỉ, nhanh nhẹn, thái độ tốt và tinh thần trách nhiệm caoSẵn sàng học hỏi và phát triểnKinh nghiệm ít nhất 1 năm","Môi trường làm việc vui vẻ, không gò bóĐược thăng tiến lên vị trí cao hơn nếu đảm nhiệm việc tốtChế độ phúc lợi theo quy định Công ty, tăng lương theo cấp bậc",CÔNG TY TNHH CÔNG NGHỆ APPTECH,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-apptech/150286.html,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat/1438703.html?ta_source=ITJobs_LinkDetail
"Senior
            2D Animator",Nhân viên,3 năm,1 người,Toàn thời gian,Không yêu cầu,"Develop and create high-quality 2D animations for use across platforms including web, social media, and product interfaces.Collaborate with the design and marketing teams to produce engaging visual content aligned with project goals.Work on character animation, motion graphics, and visual storytelling to enhance user experience.Take ownership of animation projects from concept to execution, ensuring they meet deadlines and quality standards.Stay updated with animation trends and emerging technologies that could enhance our projects.","JOB REQUIREMENTS3-4 years of experience in 2D animation with a strong portfolio showcasing expertise in character animation, motion design, and storytelling.Proficient in industry-standard animation tools (e.g., Adobe Animate, After Effects, Toon Boom).Strong ability to work in a fast-paced environment, collaborate with cross-functional teams, and meet tight deadlines.","WHAT WE ARE OFFERINGAt Ninety-Eight, we believe in providing a comprehensive and rewarding benefits package to our valued employees. We prioritize the well-being and satisfaction of our team members and strive to create a positive and fulfilling work environment. Here are the benefits we offer:Semiannual performance-salary review.100% official salary during the probation period.13th-month salary & bonus (Token Bonus/ Investment Allocation)Full-paid compulsory insurance according to Vietnam Labor LawPremium Healthcare Insurance12 days annual leave & other leaves, as below:Birthday Leave: Enjoy 1 day of paid leave to celebrate your birthday with loved ones.Charity Leave: Contribute to charitable organizations with 2 days of paid leave per year for volunteer work.Well-being Leave: you have 2 days of paid leave to prioritize your physical, mental, and emotional healthAllowances for transportation, lunch, coffee, and team-bondingProvision of Macs/Laptops and other necessary work equipmentYearly company trips and team-bonding activitiesUnlimited potential for career growth; budget for training and self-developmentFantastic working environment with friendly and talented colleaguesWorking hours: 8 hours x 5 days/week (Monday to Friday)A pantry is full of tasty food & beverages.Other benefits will surprise you",CÔNG TY TNHH C98,https://www.topcv.vn/cong-ty/cong-ty-tnhh-c98/187814.html,https://www.topcv.vn/viec-lam/senior-2d-animator/1473946.html?ta_source=ITJobs_LinkDetail
